Name;Role;Tier;Score;Trend;Win %;Pick %;Ban %;KDA
Rengar;TOP;C;36.77;-4.2;49.40%;0.86%;5.75%;1.85
Riven;TOP;A;54.86;1.03;49.66%;4.60%;2.43%;1.93
Rumble;MID;B;44.37;-4.05;51.17%;0.63%;0.34%;2.6
Rumble;TOP;C;36.69;2.71;48.30%;1.05%;0.46%;2.11
Rumble;JUNGLE;D;26.4;-14.52;47.13%;0.20%;0.34%;2.87
Ryze;MID;D;34.22;2.15;45.79%;1.60%;0.13%;2.13
Ryze;TOP;D;22.87;-1.88;44.12%;0.34%;0.13%;1.8
Samira;ADC;S;58.11;-6.79;50.76%;9.68%;16.83%;2.28
Sejuani;TOP;A;50.46;-0.58;52.23%;1.72%;0.49%;2.54
Sejuani;JUNGLE;A;48.88;-4.79;52.63%;2.02%;0.49%;3.31
Senna;SUPPORT;God;68.75;-16.1;49.81%;10.43%;12.09%;2.58
Seraphine;SUPPORT;S;62.33;-1.26;50.77%;7.90%;9.99%;2.64
Seraphine;MID;A;51.95;-1.24;51.83%;1.98%;9.99%;2.83
Seraphine;ADC;A;49.24;-6.41;53.28%;2.74%;9.99%;2.93
Sett;TOP;S;60.51;-0.41;49.62%;5.89%;4.41%;1.78
Shaco;JUNGLE;S;56.48;6.18;50.36%;5.15%;11.80%;2.82
Shaco;SUPPORT;C;40.46;2.51;50.68%;0.87%;12.54%;2.46
Shen;TOP;S;65.87;0.87;52.92%;4.09%;0.78%;3.08
Shyvana;JUNGLE;A;48.6;-1.97;51.36%;3.15%;1.88%;2.94
Shyvana;TOP;A;48.14;9.43;51.21%;2.01%;1.88%;2.27
Singed;MID;B;43.7;0.64;51.65%;0.23%;0.35%;2.54
Singed;TOP;C;41.21;4.94;50.31%;1.38%;0.35%;1.93
Sion;TOP;C;41.22;0.17;48.13%;2.89%;0.46%;1.56
Sivir;ADC;God;81.08;45.44;53.13%;17.26%;10.16%;2.64
Skarner;JUNGLE;C;38.74;-11.24;50.88%;1.11%;0.25%;2.88
Skarner;TOP;D;31.02;-10.27;47.36%;0.26%;0.25%;2.09
Sona;SUPPORT;S;61.32;9.41;52.35%;6.74%;0.50%;3.0
Soraka;SUPPORT;S;60.22;3.06;51.42%;7.04%;3.29%;2.8
Swain;MID;A;55.83;-0.98;52.62%;3.04%;5.28%;2.68
Swain;SUPPORT;A;48.58;1.06;50.80%;3.69%;5.28%;2.45
Swain;ADC;C;41.07;-0.1;51.90%;0.79%;5.66%;2.84
Sylas;MID;God;75.21;8.36;50.28%;10.77%;6.82%;2.18
Sylas;TOP;C;38.65;0.0;48.99%;1.39%;6.82%;1.87
Syndra;MID;B;43.23;1.84;48.61%;2.34%;0.64%;2.32
Tahm Kench;TOP;B;46.04;-8.78;49.70%;2.06%;2.07%;2.39
Tahm Kench;ADC;B;44.24;-2.45;53.43%;0.54%;2.07%;2.94
Tahm Kench;SUPPORT;C;36.29;0.97;48.58%;0.96%;2.07%;2.43
Taliyah;MID;A;55.25;11.19;52.33%;3.44%;5.26%;2.36
Taliyah;JUNGLE;A;48.55;7.33;51.05%;3.43%;5.26%;2.7
Talon;MID;B;46.85;1.43;50.34%;2.45%;2.30%;2.26
Talon;JUNGLE;B;43.38;-2.88;50.24%;3.01%;2.30%;2.57
Taric;SUPPORT;A;51.2;3.85;53.14%;2.69%;0.51%;2.84
Taric;TOP;D;35.51;0.0;48.79%;0.33%;0.51%;2.28
Teemo;TOP;S;56.0;-4.24;49.62%;4.65%;7.69%;1.78
Thresh;SUPPORT;A;51.42;0.49;47.69%;6.84%;1.82%;2.57
Tristana;MID;B;44.9;3.06;52.50%;0.68%;2.61%;2.16
Tristana;ADC;C;40.68;-7.31;48.74%;5.16%;2.61%;2.3
Trundle;JUNGLE;A;54.33;1.03;53.27%;3.60%;2.53%;2.83
Trundle;TOP;B;43.04;5.02;52.10%;1.15%;2.53%;1.76
Tryndamere;TOP;A;49.55;-0.22;49.91%;3.30%;5.35%;1.89
Tryndamere;MID;C;39.92;0.0;50.82%;0.37%;5.33%;2.04
Twisted Fate;MID;C;39.3;-5.1;47.14%;2.13%;0.15%;2.27
Twitch;ADC;A;55.9;-7.61;51.38%;8.67%;9.23%;2.46
Udyr;JUNGLE;B;41.85;-5.9;50.21%;2.41%;1.28%;2.76
Urgot;TOP;A;48.21;2.39;50.93%;2.58%;1.35%;1.96
Varus;MID;D;35.02;0.45;48.01%;0.44%;0.22%;2.15
Varus;ADC;D;33.93;6.16;48.75%;1.98%;0.20%;2.34
Vayne;ADC;A;50.95;-3.19;50.59%;7.97%;12.17%;2.09
Vayne;TOP;B;42.25;1.43;49.66%;2.13%;12.17%;1.55
Veigar;MID;S;59.61;-2.74;50.92%;5.72%;4.98%;2.32
Veigar;ADC;B;42.8;7.82;53.57%;0.99%;4.98%;2.51
Vel'Koz;MID;B;46.37;-2.68;51.17%;1.14%;0.59%;2.67
Vel'Koz;SUPPORT;B;44.72;1.73;51.90%;1.89%;0.59%;2.34
Vex;MID;S;59.78;12.53;52.21%;4.73%;4.65%;2.52
Vi;JUNGLE;B;45.03;-3.14;50.51%;3.51%;0.76%;2.43
Viego;JUNGLE;God;70.6;13.27;48.41%;10.26%;7.22%;2.46
Viktor;MID;S;67.2;-0.24;50.88%;7.91%;6.35%;2.31
Vladimir;MID;A;55.57;4.82;50.32%;4.73%;5.87%;2.39
Vladimir;TOP;C;39.47;3.86;48.84%;1.35%;5.87%;2.1
Volibear;JUNGLE;A;53.88;-12.08;50.70%;4.68%;7.99%;2.8
Volibear;TOP;B;46.86;-16.04;49.47%;3.05%;7.99%;1.71
Warwick;JUNGLE;A;50.72;-0.08;50.64%;4.84%;4.01%;2.24
Warwick;TOP;B;46.18;2.69;52.58%;1.34%;4.01%;1.96
Wukong;JUNGLE;God;68.7;5.08;52.74%;6.25%;14.43%;2.94
Wukong;TOP;A;54.36;4.65;53.38%;2.14%;14.43%;2.2
Xayah;ADC;C;40.59;2.16;49.35%;4.41%;0.52%;2.39
Xerath;MID;A;52.01;-1.67;50.64%;2.11%;2.76%;3.33
Xerath;SUPPORT;B;44.51;-5.52;49.75%;2.79%;2.76%;2.65
Xin Zhao;JUNGLE;D;35.54;-8.54;48.37%;2.59%;0.51%;2.29
Yasuo;MID;God;88.22;0.7;48.86%;12.69%;25.01%;1.74
Yasuo;TOP;B;46.41;-1.29;48.41%;2.95%;25.01%;1.5
Yasuo;ADC;D;35.46;-2.07;49.21%;2.56%;25.01%;1.95
Yone;MID;God;79.04;1.47;49.59%;11.05%;18.64%;1.95
Yone;TOP;S;63.45;-0.52;48.91%;5.99%;18.64%;1.67
Yorick;TOP;B;46.94;-2.14;50.97%;2.64%;2.92%;1.65
Yuumi;SUPPORT;God;96.16;2.52;50.58%;12.16%;32.13%;4.4
Zac;JUNGLE;S;57.69;1.05;51.47%;4.28%;3.90%;3.6
Zed;MID;God;70.48;0.95;49.03%;7.48%;28.14%;2.32
Zed;JUNGLE;D;31.92;-9.27;45.58%;2.11%;28.14%;2.53
Zeri;ADC;A;51.43;-23.7;49.45%;8.41%;9.10%;2.44
Zeri;MID;C;41.27;1.85;48.43%;1.67%;9.10%;2.33
Ziggs;MID;C;41.71;-1.01;49.87%;0.90%;0.28%;2.43
Ziggs;ADC;D;35.17;2.13;49.97%;1.09%;0.28%;2.44
Zilean;MID;A;53.68;0.57;53.22%;0.81%;2.17%;3.47
Zilean;SUPPORT;A;48.1;3.96;49.78%;3.40%;2.17%;3.14
Zoe;MID;B;46.72;-0.8;47.93%;3.61%;1.69%;2.44
Zyra;SUPPORT;B;47.33;-4.64;51.89%;3.01%;1.76%;2.2
Aatrox;TOP;God;81.21;12.12;50.86%;9.09%;8.06%;2.04
Ahri;MID;S;65.37;-6.11;49.61%;7.63%;4.83%;2.57
Akali;MID;God;79.04;13.02;48.50%;11.10%;14.30%;2.4
Akali;TOP;A;49.91;2.94;45.96%;4.54%;14.30%;2.03
Akshan;MID;A;48.21;4.67;50.61%;2.70%;6.15%;2.21
Akshan;TOP;B;45.94;3.37;52.11%;1.34%;6.15%;2.11
Alistar;SUPPORT;B;43.36;2.2;49.12%;3.38%;0.67%;2.47
Amumu;SUPPORT;B;45.99;2.8;52.62%;2.33%;1.90%;2.21
Amumu;JUNGLE;B;45.06;-7.17;49.67%;3.68%;1.90%;2.66
Anivia;MID;A;48.96;1.53;51.07%;2.12%;2.61%;2.6
Anivia;SUPPORT;D;30.87;1.93;47.77%;0.36%;2.62%;2.19
Annie;MID;B;46.05;-1.33;51.45%;1.46%;0.52%;2.36
Annie;SUPPORT;D;27.52;-0.58;46.51%;0.19%;0.55%;2.08
Aphelios;ADC;D;32.87;-2.34;46.24%;5.98%;0.74%;1.97
Ashe;SUPPORT;S;56.4;3.33;50.24%;6.84%;4.35%;2.46
Ashe;ADC;B;47.62;0.34;50.14%;6.63%;4.35%;2.43
Aurelion Sol;MID;C;37.66;-2.86;48.09%;1.01%;0.32%;2.33
Azir;MID;B;47.07;-0.56;48.17%;3.94%;2.04%;2.16
Bard;SUPPORT;A;50.03;0.05;51.05%;3.64%;0.58%;3.01
Bel'Veth;JUNGLE;God;72.79;-15.97;52.64%;5.99%;32.75%;2.51
Blitzcrank;SUPPORT;S;57.87;0.38;49.81%;6.90%;13.28%;2.41
Brand;SUPPORT;B;42.57;0.08;49.86%;3.29%;4.35%;1.86
Brand;MID;B;41.92;-0.11;51.17%;0.81%;4.77%;2.08
Braum;SUPPORT;B;41.72;3.65;49.68%;2.01%;0.27%;2.79
Caitlyn;ADC;A;54.49;5.89;49.68%;9.44%;5.01%;2.23
Camille;TOP;A;53.59;-5.91;48.98%;4.71%;2.64%;1.93
Cassiopeia;MID;A;48.24;0.74;52.04%;2.19%;2.02%;2.08
Cassiopeia;TOP;D;34.35;-4.03;49.74%;0.39%;2.09%;1.82
Cho'Gath;TOP;B;43.89;-0.49;50.12%;1.90%;0.70%;2.11
Cho'Gath;MID;C;40.72;-2.14;50.56%;0.46%;0.70%;2.33
Corki;MID;C;38.43;-3.3;47.83%;1.79%;0.37%;2.08
Darius;TOP;God;93.15;0.7;51.06%;9.40%;25.56%;1.9
Diana;JUNGLE;God;94.13;1.88;52.05%;11.18%;20.44%;2.6
Diana;MID;A;49.57;3.31;53.18%;1.42%;20.58%;2.2
Dr. Mundo;TOP;A;49.36;-2.14;51.27%;2.50%;1.54%;2.13
Draven;ADC;S;66.89;12.95;51.50%;9.35%;23.47%;2.18
Ekko;JUNGLE;A;56.23;-0.1;50.76%;5.49%;2.69%;2.8
Ekko;MID;A;49.34;2.62;50.87%;2.71%;2.69%;2.37
Elise;JUNGLE;B;42.62;3.74;50.64%;2.52%;1.34%;2.75
Evelynn;JUNGLE;B;42.31;-2.89;48.12%;3.38%;4.44%;2.95
Ezreal;ADC;God;73.24;8.17;48.53%;16.18%;3.47%;2.38
Fiddlesticks;JUNGLE;S;61.49;-1.98;52.64%;5.49%;6.09%;2.85
Fiora;TOP;God;69.62;1.98;50.01%;6.55%;18.08%;1.78
Fizz;MID;B;45.86;0.05;49.09%;2.64%;3.80%;2.4
Galio;MID;A;53.5;4.85;52.73%;2.28%;0.41%;2.77
Galio;SUPPORT;D;32.17;-2.05;48.01%;0.49%;0.41%;2.31
Gangplank;TOP;S;65.11;-8.41;48.19%;6.83%;10.74%;1.99
Gangplank;MID;B;41.73;-1.34;48.49%;2.01%;10.75%;2.17
Garen;TOP;S;65.26;-0.13;51.11%;6.02%;2.89%;2.08
Gnar;TOP;A;54.39;-13.67;47.68%;5.61%;2.04%;1.85
Gragas;TOP;B;46.65;-0.54;48.90%;3.02%;0.78%;2.14
Gragas;MID;B;44.85;0.84;51.27%;0.87%;0.78%;2.57
Gragas;JUNGLE;D;33.12;-1.23;49.04%;0.99%;0.70%;2.86
Graves;JUNGLE;S;57.09;4.97;49.30%;6.54%;3.74%;2.62
Gwen;TOP;S;59.3;-1.11;48.88%;6.16%;3.93%;1.74
Hecarim;JUNGLE;B;43.93;0.85;48.11%;3.95%;1.59%;2.88
Heimerdinger;MID;A;51.04;1.21;54.50%;1.56%;2.27%;2.09
Heimerdinger;TOP;B;41.36;1.29;52.09%;0.99%;2.27%;1.7
Heimerdinger;SUPPORT;C;39.27;-0.86;52.62%;0.45%;2.27%;1.93
Heimerdinger;ADC;D;34.87;-10.25;53.55%;0.39%;2.13%;2.31
Illaoi;TOP;A;52.96;-2.3;52.26%;3.54%;6.24%;1.47
Irelia;TOP;S;59.15;2.04;50.20%;4.97%;16.10%;1.64
Irelia;MID;A;51.55;1.11;49.56%;4.32%;16.10%;1.81
Ivern;SUPPORT;D;33.89;5.44;48.22%;0.16%;0.38%;2.87
Ivern;JUNGLE;D;32.81;-5.79;47.80%;1.00%;0.38%;3.3
Janna;SUPPORT;S;58.95;0.52;52.17%;5.59%;1.57%;3.24
Jarvan IV;JUNGLE;A;52.14;9.66;51.42%;3.55%;0.37%;3.4
Jax;TOP;S;60.96;-0.84;50.19%;5.72%;8.38%;1.69
Jax;JUNGLE;D;28.52;-3.62;48.69%;0.96%;8.09%;2.14
Jayce;TOP;C;38.19;-4.48;48.14%;2.13%;0.44%;1.72
Jayce;MID;C;37.24;-6.26;49.56%;0.42%;0.46%;2.08
Jhin;ADC;God;74.18;8.42;50.97%;13.43%;3.31%;2.95
Jinx;ADC;A;49.91;0.26;49.22%;8.76%;0.81%;2.23
Kai'Sa;ADC;S;63.32;0.19;49.05%;12.79%;1.64%;2.41
Kalista;ADC;A;49.24;3.09;49.97%;6.77%;8.40%;2.37
Karma;SUPPORT;S;57.34;5.7;49.22%;7.57%;1.67%;2.77
Karthus;MID;B;43.45;2.96;51.99%;0.44%;2.10%;2.31
Karthus;JUNGLE;C;36.34;0.0;49.00%;2.11%;2.57%;2.55
Karthus;ADC;D;31.94;-5.2;51.70%;0.85%;2.57%;2.28
Kassadin;MID;A;53.11;-0.04;50.90%;3.33%;9.05%;2.49
Katarina;MID;God;69.95;1.28;49.00%;8.93%;12.74%;2.27
Kayle;TOP;A;51.6;-5.06;50.64%;3.73%;2.12%;1.8
Kayle;MID;C;39.61;-5.59;50.14%;0.67%;2.21%;2.14
Kayn;JUNGLE;God;89.7;6.05;51.10%;11.72%;14.60%;2.56
Kennen;MID;C;40.83;-1.65;50.88%;0.29%;0.29%;2.34
Kennen;TOP;D;35.48;1.26;47.86%;1.36%;0.35%;1.93
Kha'Zix;JUNGLE;A;55.89;3.35;51.45%;5.18%;3.30%;2.68
Kindred;JUNGLE;A;48.38;3.21;50.22%;4.52%;4.38%;2.27
Kled;TOP;A;49.37;0.69;51.36%;2.08%;0.94%;2.42
Kog'Maw;ADC;B;41.08;2.74;53.48%;2.59%;0.77%;2.27
LeBlanc;MID;A;56.22;12.32;49.53%;4.46%;6.51%;2.88
Lee Sin;JUNGLE;S;66.77;0.77;45.95%;10.24%;5.27%;2.66
Leona;SUPPORT;A;49.21;2.24;49.31%;5.15%;5.66%;2.33
Lillia;JUNGLE;B;46.75;-0.5;49.58%;4.01%;3.64%;2.69
Lillia;TOP;B;44.54;-7.38;50.37%;1.97%;3.64%;2.03
Lissandra;MID;B;44.36;-3.18;48.24%;2.93%;1.08%;2.3
Lucian;ADC;A;51.72;3.45;50.01%;8.29%;3.50%;2.34
Lulu;SUPPORT;God;76.26;1.79;50.41%;10.91%;14.65%;3.1
Lux;SUPPORT;S;65.88;0.48;50.30%;9.12%;7.83%;2.49
Lux;MID;S;58.86;1.22;50.42%;4.63%;7.83%;2.86
Malphite;TOP;A;50.95;-0.73;50.97%;2.65%;2.47%;2.36
Malphite;MID;C;36.94;-3.72;48.41%;0.44%;2.41%;2.42
Malphite;SUPPORT;D;25.13;-6.74;44.62%;0.61%;2.35%;2.06
Malzahar;MID;B;46.38;-1.75;49.72%;2.73%;3.57%;2.22
Maokai;SUPPORT;C;38.24;-0.52;50.46%;1.19%;0.12%;2.16
Maokai;TOP;C;36.76;6.86;49.83%;0.33%;0.12%;2.2
Master Yi;JUNGLE;God;87.13;-5.24;52.16%;8.66%;28.37%;2.19
Miss Fortune;ADC;S;63.2;8.05;51.29%;10.97%;3.20%;2.33
Mordekaiser;TOP;God;74.45;-2.03;51.02%;7.45%;11.20%;1.88
Mordekaiser;JUNGLE;B;41.14;0.17;52.55%;1.40%;12.14%;2.44
Morgana;SUPPORT;God;71.89;7.96;50.62%;8.88%;22.54%;2.57
Nami;SUPPORT;S;67.89;1.93;51.24%;9.21%;1.89%;3.22
Nasus;TOP;A;48.54;-1.77;49.28%;3.58%;3.04%;1.84
Nasus;MID;B;44.95;1.3;52.92%;0.35%;3.25%;2.31
Nautilus;SUPPORT;S;61.13;1.89;49.65%;8.23%;11.74%;2.34
Neeko;MID;A;51.84;2.85;53.64%;1.84%;0.61%;2.4
Neeko;SUPPORT;C;37.33;1.1;50.76%;0.76%;0.65%;2.1
Neeko;TOP;C;36.39;1.5;50.42%;0.29%;0.65%;1.99
Nidalee;JUNGLE;B;41.21;3.09;47.74%;3.50%;2.12%;2.85
Nilah;ADC;S;62.71;-27.83;51.52%;7.90%;30.50%;2.18
Nocturne;JUNGLE;B;41.24;-1.28;49.55%;2.84%;1.66%;2.67
Nunu;JUNGLE;B;46.55;0.74;50.33%;3.40%;1.11%;2.91
Olaf;TOP;A;53.5;3.6;52.41%;3.29%;2.88%;1.81
Olaf;JUNGLE;D;32.46;-2.22;49.67%;1.19%;2.88%;2.32
Orianna;MID;A;49.03;-0.12;50.65%;2.30%;0.20%;2.69
Ornn;TOP;S;62.27;1.56;51.52%;4.91%;0.85%;2.37
Pantheon;MID;B;46.53;2.04;51.85%;1.34%;1.87%;2.37
Pantheon;TOP;B;44.79;2.45;51.18%;1.62%;1.87%;2.08
Pantheon;JUNGLE;B;44.77;0.0;49.24%;3.90%;1.87%;2.61
Pantheon;SUPPORT;C;37.15;7.13;48.40%;2.37%;1.83%;1.98
Poppy;JUNGLE;A;50.49;4.83;50.06%;4.31%;4.14%;2.89
Poppy;TOP;B;41.23;-3.99;49.87%;1.35%;4.14%;2.12
Pyke;SUPPORT;God;70.6;5.21;49.56%;10.24%;19.56%;2.25
Qiyana;MID;A;55.03;1.09;51.51%;4.06%;6.07%;2.21
Qiyana;JUNGLE;C;36.77;1.46;49.59%;1.79%;6.07%;2.57
Quinn;TOP;B;46.32;6.79;51.93%;1.88%;0.82%;1.9
Rakan;SUPPORT;A;49.9;-0.74;49.75%;4.68%;0.28%;2.86
Rammus;JUNGLE;A;48.29;-2.86;51.69%;2.96%;6.06%;2.91
Rek'Sai;JUNGLE;B;44.32;-1.72;50.95%;2.79%;3.74%;2.65
Rell;SUPPORT;C;37.72;-3.99;48.36%;2.08%;0.28%;2.37
Renata Glasc;SUPPORT;S;63.28;-9.36;51.65%;7.41%;8.49%;2.75
Renekton;TOP;A;53.01;1.93;49.89%;4.25%;2.63%;1.87
Renekton;MID;B;44.67;0.56;52.40%;0.69%;2.63%;2.23
Rengar;JUNGLE;B;45.94;0.7;49.49%;4.01%;7.65%;2.4
Rengar;TOP;C;37.42;0.65;49.82%;0.85%;6.24%;1.91
Riven;TOP;A;53.69;-1.17;49.47%;4.55%;2.36%;1.91
Rumble;MID;B;45.4;1.03;51.61%;0.84%;0.66%;2.57
Rumble;TOP;C;38.18;1.49;48.78%;1.24%;0.66%;2.12
Ryze;MID;D;33.86;-0.36;45.20%;1.95%;0.15%;2.1
Ryze;TOP;D;27.33;4.46;46.64%;0.35%;0.14%;1.79
Samira;ADC;God;70.32;12.21;50.82%;11.43%;19.29%;2.26
Sejuani;TOP;A;53.44;2.99;53.15%;2.03%;0.66%;2.5
Sejuani;JUNGLE;B;42.98;-5.91;50.72%;2.09%;0.66%;3.14
Senna;SUPPORT;S;63.91;-4.84;50.31%;8.76%;8.44%;2.55
Seraphine;SUPPORT;A;54.71;-7.63;49.90%;6.28%;7.06%;2.5
Seraphine;MID;B;46.38;-5.57;50.63%;1.31%;7.06%;2.76
Seraphine;ADC;B;46.14;-3.1;53.36%;2.72%;7.06%;2.9
Sett;TOP;S;59.72;-0.79;49.30%;5.94%;4.32%;1.78
Shaco;JUNGLE;A;55.62;-0.86;49.11%;5.42%;12.67%;2.85
Shaco;SUPPORT;C;36.56;-3.9;49.21%;0.92%;13.43%;2.42
Shen;TOP;S;64.98;-0.89;51.69%;4.60%;1.12%;2.93
Shyvana;JUNGLE;A;52.78;4.18;53.01%;3.34%;2.62%;2.98
Shyvana;TOP;A;51.15;3.02;51.81%;2.44%;2.62%;2.26
Singed;MID;B;43.89;0.19;52.15%;0.21%;0.28%;2.49
Singed;TOP;C;39.83;-1.38;50.12%;1.34%;0.33%;1.88
Sion;TOP;B;44.31;3.09;49.02%;3.26%;0.50%;1.58
Sivir;ADC;God;97.42;16.34;53.33%;16.98%;16.07%;2.65
Skarner;JUNGLE;C;38.12;-0.62;50.96%;1.05%;0.23%;2.96
Skarner;TOP;D;34.84;3.82;49.42%;0.25%;0.21%;2.11
Sona;SUPPORT;A;54.25;-7.07;51.52%;4.91%;0.45%;2.93
Soraka;SUPPORT;A;56.37;-3.85;50.51%;6.34%;3.28%;2.76
Swain;MID;A;54.06;-1.77;52.33%;2.79%;5.38%;2.61
Swain;SUPPORT;A;48.12;-0.46;50.58%;3.97%;5.38%;2.36
Swain;ADC;C;40.2;-0.87;53.83%;0.73%;5.78%;2.82
Sylas;MID;God;82.06;6.85;50.92%;11.65%;8.96%;2.19
Sylas;TOP;C;40.87;2.22;50.06%;1.43%;8.96%;1.9
Syndra;MID;B;44.5;1.27;48.01%;3.18%;0.67%;2.27
Tahm Kench;TOP;B;46.38;0.34;50.38%;1.82%;1.52%;2.45
Tahm Kench;ADC;D;34.21;-10.03;51.44%;0.39%;1.52%;2.9
Tahm Kench;SUPPORT;D;34.03;-2.26;48.11%;0.95%;1.52%;2.38
Taliyah;MID;S;56.99;1.73;51.12%;4.48%;8.11%;2.27
Taliyah;JUNGLE;B;46.23;-2.32;49.90%;3.41%;8.11%;2.7
Talon;MID;B;44.79;-2.06;49.24%;2.61%;2.66%;2.19
Talon;JUNGLE;C;36.21;-7.17;47.63%;2.87%;2.66%;2.47
Taric;SUPPORT;A;54.31;3.1;54.33%;3.12%;0.83%;2.91
Teemo;TOP;S;63.76;7.76;51.13%;5.60%;8.18%;1.79
Thresh;SUPPORT;A;49.53;-1.9;46.62%;6.98%;1.79%;2.5
Tristana;ADC;B;46.31;5.63;51.50%;5.39%;2.38%;2.39
Tristana;MID;C;39.02;-5.88;49.85%;0.60%;2.38%;2.18
Trundle;JUNGLE;A;55.3;0.97;52.72%;4.17%;2.97%;2.89
Trundle;TOP;C;38.29;-4.75;50.18%;1.10%;2.97%;1.77
Tryndamere;TOP;A;49.16;-0.39;50.13%;3.21%;5.36%;1.89
Tryndamere;MID;B;43.3;3.38;52.55%;0.37%;5.36%;2.12
Twisted Fate;MID;D;35.38;-3.92;45.93%;1.95%;0.13%;2.12
Twitch;ADC;S;58.13;2.23;51.62%;8.42%;8.59%;2.46
Udyr;JUNGLE;C;37.71;-4.13;49.15%;2.27%;1.05%;2.65
Urgot;TOP;A;48.6;0.39;50.96%;2.75%;1.61%;1.95
Varus;MID;C;38.09;3.07;49.44%;0.55%;0.27%;2.2
Varus;ADC;C;38.04;4.11;50.68%;3.46%;0.27%;2.37
Vayne;ADC;A;50.6;-0.34;50.41%;7.52%;10.97%;2.1
Vayne;TOP;C;38.77;-3.48;49.08%;1.83%;10.97%;1.56
Veigar;MID;S;57.09;-2.53;50.54%;5.15%;4.31%;2.31
Veigar;ADC;D;34.71;-8.1;52.32%;0.93%;4.60%;2.44
Vel'Koz;MID;B;45.46;-0.9;51.18%;1.08%;0.71%;2.59
Vel'Koz;SUPPORT;B;43.27;-1.45;51.48%;2.09%;0.71%;2.27
Vex;MID;S;64.19;4.41;52.62%;5.56%;6.27%;2.53
Vi;JUNGLE;A;50.74;5.71;52.08%;3.98%;0.84%;2.53
Viego;JUNGLE;God;73.27;2.67;49.47%;9.99%;6.74%;2.51
Viktor;MID;S;64.39;-2.81;50.51%;7.13%;6.28%;2.29
Vladimir;MID;S;57.41;1.85;50.61%;4.90%;6.92%;2.42
Vladimir;TOP;C;39.22;-0.25;48.98%;1.47%;6.92%;2.0
Volibear;JUNGLE;S;56.57;2.7;53.85%;3.78%;4.79%;2.9
Volibear;TOP;B;44.52;-2.34;49.08%;2.92%;5.11%;1.73
Warwick;JUNGLE;A;50.22;-0.5;49.93%;4.92%;4.67%;2.29
Warwick;TOP;B;45.21;-0.96;51.98%;1.47%;4.67%;1.96
Wukong;JUNGLE;S;63.5;-5.2;52.42%;5.54%;11.73%;2.9
Wukong;TOP;B;46.84;-7.52;50.92%;1.93%;11.28%;2.11
Xayah;ADC;C;35.64;-4.95;48.45%;4.43%;0.51%;2.32
Xerath;SUPPORT;B;47.81;3.3;51.61%;2.97%;2.59%;2.65
Xerath;MID;B;47.41;-4.6;49.39%;1.98%;2.59%;3.02
Xin Zhao;JUNGLE;D;32.6;-2.95;47.40%;2.49%;0.49%;2.26
Yasuo;MID;God;88.79;0.56;49.54%;12.06%;24.98%;1.74
Yasuo;TOP;B;43.04;-3.37;47.79%;2.71%;24.98%;1.5
Yasuo;ADC;D;30.51;-4.95;48.58%;2.62%;24.98%;1.94
Yone;MID;God;77.18;-1.87;49.96%;10.11%;18.19%;1.91
Yone;TOP;S;58.28;-5.17;48.56%;5.32%;18.19%;1.63
Yorick;TOP;A;49.58;2.65;52.12%;2.77%;3.02%;1.67
Yuumi;SUPPORT;God;93.41;-2.74;49.18%;11.75%;31.82%;4.29
Zac;JUNGLE;A;56.1;-1.59;51.50%;3.95%;3.83%;3.66
Zac;TOP;A;49.0;0.0;53.15%;0.54%;3.83%;2.84
Zed;MID;God;73.45;2.97;49.99%;7.41%;28.64%;2.34
Zed;JUNGLE;C;35.67;3.75;47.22%;2.08%;28.64%;2.57
Zeri;ADC;C;39.51;-11.93;46.03%;7.31%;5.24%;2.24
Zeri;MID;D;29.68;-11.59;44.33%;0.88%;5.24%;2.28
Ziggs;MID;C;40.0;-1.71;49.25%;0.85%;0.25%;2.43
Ziggs;ADC;D;30.99;-4.18;50.45%;1.07%;0.25%;2.47
Zilean;MID;A;49.44;-4.24;51.86%;0.60%;2.04%;3.37
Zilean;SUPPORT;B;46.59;-1.51;49.55%;3.35%;2.16%;3.04
Zoe;MID;A;49.68;2.97;49.90%;3.18%;1.41%;2.52
Zyra;SUPPORT;B;47.57;0.24;51.76%;3.44%;2.00%;2.19
Aatrox;TOP;God;89.36;8.15;50.38%;11.12%;12.70%;1.96
Ahri;MID;God;70.1;4.73;49.78%;8.68%;4.53%;2.58
Akali;MID;God;77.82;-1.22;49.09%;9.85%;17.78%;2.37
Akali;TOP;A;48.28;-1.63;46.88%;3.74%;17.78%;2.02
Akshan;MID;A;51.09;2.88;51.62%;2.91%;5.96%;2.27
Akshan;TOP;B;44.17;-1.76;51.36%;1.22%;5.96%;2.03
Alistar;SUPPORT;B;43.8;0.44;48.84%;3.37%;0.75%;2.45
Amumu;JUNGLE;A;50.35;5.29;51.72%;3.61%;3.90%;2.7
Amumu;SUPPORT;A;50.15;4.16;51.47%;4.21%;3.90%;2.13
Anivia;MID;A;50.87;1.91;51.81%;2.34%;2.62%;2.6
Anivia;SUPPORT;D;30.48;-0.39;46.66%;0.38%;2.56%;2.24
Annie;MID;B;45.04;-1.01;51.08%;1.58%;0.54%;2.33
Annie;SUPPORT;D;34.33;6.81;49.40%;0.20%;0.59%;2.07
Aphelios;ADC;D;34.58;1.71;46.86%;5.70%;0.66%;2.04
Ashe;SUPPORT;A;53.95;-2.44;49.32%;6.49%;4.36%;2.38
Ashe;ADC;B;46.7;-0.92;50.03%;6.60%;4.36%;2.4
